GEN UID,Bus ID,Unit Type,Fuel,MW Inj,MVAR Inj,V Setpoint p.u.,PMax MW,PMin MW,QMax MVAR,QMin MVAR,Min Down Time Hr,Min Up Time Hr,Ramp Rate MW/Min,Start Time Cold Hr,Start Time Warm Hr,Start Time Hot Hr,Start Heat Cold MBTU,Start Heat Warm MBTU,Start Heat Hot MBTU,Non Fuel Start Cost $,Fuel Price $/MMBTU,Output_pct_0,Output_pct_1,Output_pct_2,Output_pct_3,Output_pct_4,HR_avg_0,HR_incr_1,HR_incr_2,HR_incr_3,HR_incr_4,capex1,capex2,capex3,fuel_cost1,fuel_cost2,fuel_cost3,fixed_ops1,fixed_ops2,fixed_ops3,var_ops1,var_ops2,var_ops3
1,107,NUC,N,,,1,2430,729,894.24,-199.26,48,48,,,,,,,,1200,0,0.6,1,,,,0,17.44,,,,7040.489322,6966.178959,6731.224251,7.210946358,7.294679868,7.378403404,145.96,145.96,145.96,2.84,2.84,2.84
2,100,CT,G,,,1,304.6,91.38,170.58,-19.49,8,6,,,,,,,,69,0,0.6,1,,,,597,27.85,,,,958.3056411,928.7012334,908.9649616,21.62404,18.03036,22.80128,26.87,26.87,26.87,1.76,1.76,1.76
3,100,CT,G,,,1,236,70.8,132.16,-15.1,8,6,,,,,,,,61,0,0.6,1,,,,363,55,,,,958.3056411,928.7012334,908.9649616,21.62404,18.03036,22.80128,26.87,26.87,26.87,1.76,1.76,1.76
4,100,CT,G,,,1,176.4,52.92,98.78,-11.29,8,6,,,,,,,,46,0,0.6,1,,,,548,48.13,,,,958.3056411,928.7012334,908.9649616,21.62404,18.03036,22.80128,26.87,26.87,26.87,1.76,1.76,1.76
5,100,CT,G,,,1,380.7,114.21,213.19,-24.36,8,6,,,,,,,,37,0,0.6,1,,,,316,34.22,,,,958.3056411,928.7012334,908.9649616,21.62404,18.03036,22.80128,26.87,26.87,26.87,1.76,1.76,1.76
6,100,COAL,C,,,1,842.5,252.75,392.6,-102.79,12,24,,,,,,,,310,0,0.6,1,,,,1372,19.17,,,,3009.084047,2863.00038,2715.719307,19.27003,19.73475,18.93942,73.16,71.08,69.84,7.85,7.56,7.44
7,100,CT,G,,,1,177.3,53.19,99.29,-11.35,8,6,,,,,,,,59,0,0.6,1,,,,49,44.78,,,,958.3056411,928.7012334,908.9649616,21.62404,18.03036,22.80128,26.87,26.87,26.87,1.76,1.76,1.76
8,100,CT,G,,,1,381.8,114.54,213.81,-24.44,8,6,,,,,,,,62,0,0.6,1,,,,435,32.86,,,,958.3056411,928.7012334,908.9649616,21.62404,18.03036,22.80128,26.87,26.87,26.87,1.76,1.76,1.76
9,50,PV,S,,,1,5,0,0,0,0,0,,,,,,,,0,0,0.6,1,,,,0,0,,,,981.7075546,754.3966071,720.7850088,0,0,0,18.1653519,15.22157173,14.72060919,0,0,0
10,62,CT,G,,,1,92.7,27.81,51.91,-5.93,8,6,,,,,,,,61,0,0.6,1,,,,340,23.64,,,,958.3056411,928.7012334,908.9649616,21.62404,18.03036,22.80128,26.87,26.87,26.87,1.76,1.76,1.76
11,62,CT,G,,,1,678.1,203.43,379.74,-43.4,8,6,,,,,,,,69,0,0.6,1,,,,2129,53.29,,,,958.3056411,928.7012334,908.9649616,21.62404,18.03036,22.80128,26.87,26.87,26.87,1.76,1.76,1.76
12,62,CT,G,,,1,260,78,145.6,-16.64,8,6,,,,,,,,12,0,0.6,1,,,,413,33.14,,,,958.3056411,928.7012334,908.9649616,21.62404,18.03036,22.80128,26.87,26.87,26.87,1.76,1.76,1.76
13,62,CT,G,,,1,497.9,149.37,278.82,-31.87,8,6,,,,,,,,70,0,0.6,1,,,,3108,37.48,,,,958.3056411,928.7012334,908.9649616,21.62404,18.03036,22.80128,26.87,26.87,26.87,1.76,1.76,1.76
14,110,CT,G,,,1,22,6.6,12.32,-1.41,8,6,,,,,,,,12,0,0.6,1,,,,505,23.97,,,,958.3056411,928.7012334,908.9649616,21.62404,18.03036,22.80128,26.87,26.87,26.87,1.76,1.76,1.76
15,110,CT,G,,,1,50.1,15.03,28.06,-3.21,8,6,,,,,,,,44,0,0.6,1,,,,122,43.86,,,,958.3056411,928.7012334,908.9649616,21.62404,18.03036,22.80128,26.87,26.87,26.87,1.76,1.76,1.76
16,110,CT,G,,,1,203.2,60.96,94.69,-24.79,8,6,,,,,,,,76,0,0.6,1,,,,322,47.13,,,,958.3056411,928.7012334,908.9649616,21.62404,18.03036,22.80128,26.87,26.87,26.87,1.76,1.76,1.76
17,32,PV,S,,,1,80,0,0,0,0,0,,,,,,,,0,0,0.6,1,,,,0,0,,,,981.7075546,754.3966071,720.7850088,0,0,0,18.1653519,15.22157173,14.72060919,0,0,0
18,32,CT,G,,,1,432,129.6,241.92,-27.65,8,6,,,,,,,,75,0,0.6,1,,,,3088,50.76,,,,958.3056411,928.7012334,908.9649616,21.62404,18.03036,22.80128,26.87,26.87,26.87,1.76,1.76,1.76
19,32,WIND,W,,,1,643.2999894,0,332.25,0,0,0,,,,,,,,0,0,0.6,1,,,,0,0,,,,1206,955.919273,908.1233094,0,0,0,40.975,38.95,37.489375,0,0,0
20,32,WIND,W,,,1,780.1999894,0,408.91,0,0,0,,,,,,,,0,0,0.6,1,,,,0,0,,,,1206,955.919273,908.1233094,0,0,0,40.975,38.95,37.489375,0,0,0
